,capability,label,template
0,TempOrder,0,I started taking {drug} after encountering {ade}.
1,TempOrder,0,I started taking {drug} after enduring {ade}.
2,TempOrder,0,I started taking {drug} after experiencing {ade}.
3,TempOrder,0,I started taking {drug} after having {ade}.
4,TempOrder,0,I started taking {drug} after living through {ade}.
5,TempOrder,0,I started taking {drug} after suffering from {ade}.
6,TempOrder,0,I took {drug} after encountering {ade}.
7,TempOrder,0,I took {drug} after enduring {ade}.
8,TempOrder,0,I took {drug} after experiencing {ade}.
9,TempOrder,0,I took {drug} after having {ade}.
10,TempOrder,0,I took {drug} after living through {ade}.
11,TempOrder,0,I took {drug} after suffering from {ade}.
12,TempOrder,0,I was medicated with {drug} after encountering {ade}.
13,TempOrder,0,I was medicated with {drug} after enduring {ade}.
14,TempOrder,0,I was medicated with {drug} after experiencing {ade}.
15,TempOrder,0,I was medicated with {drug} after having {ade}.
16,TempOrder,0,I was medicated with {drug} after living through {ade}.
17,TempOrder,0,I was medicated with {drug} after suffering from {ade}.
18,TempOrder,0,I was on {drug} after encountering {ade}.
19,TempOrder,0,I was on {drug} after enduring {ade}.
20,TempOrder,0,I was on {drug} after experiencing {ade}.
21,TempOrder,0,I was on {drug} after having {ade}.
22,TempOrder,0,I was on {drug} after living through {ade}.
23,TempOrder,0,I was on {drug} after suffering from {ade}.
24,TempOrder,0,I was put on {drug} after encountering {ade}.
25,TempOrder,0,I was put on {drug} after enduring {ade}.
26,TempOrder,0,I was put on {drug} after experiencing {ade}.
27,TempOrder,0,I was put on {drug} after having {ade}.
28,TempOrder,0,I was put on {drug} after living through {ade}.
29,TempOrder,0,I was put on {drug} after suffering from {ade}.
30,TempOrder,0,I was treated with {drug} after encountering {ade}.
31,TempOrder,0,I was treated with {drug} after enduring {ade}.
32,TempOrder,0,I was treated with {drug} after experiencing {ade}.
33,TempOrder,0,I was treated with {drug} after having {ade}.
34,TempOrder,0,I was treated with {drug} after living through {ade}.
35,TempOrder,0,I was treated with {drug} after suffering from {ade}.
36,TempOrder,0,"After encountering {ade}, I started taking {drug}."
37,TempOrder,0,"After encountering {ade}, I took {drug}."
38,TempOrder,0,"After encountering {ade}, I was medicated with {drug}."
39,TempOrder,0,"After encountering {ade}, I was on {drug}."
40,TempOrder,0,"After encountering {ade}, I was put on {drug}."
41,TempOrder,0,"After encountering {ade}, I was treated with {drug}."
42,TempOrder,0,"After enduring {ade}, I started taking {drug}."
43,TempOrder,0,"After enduring {ade}, I took {drug}."
44,TempOrder,0,"After enduring {ade}, I was medicated with {drug}."
45,TempOrder,0,"After enduring {ade}, I was on {drug}."
46,TempOrder,0,"After enduring {ade}, I was put on {drug}."
47,TempOrder,0,"After enduring {ade}, I was treated with {drug}."
48,TempOrder,0,"After experiencing {ade}, I started taking {drug}."
49,TempOrder,0,"After experiencing {ade}, I took {drug}."
50,TempOrder,0,"After experiencing {ade}, I was medicated with {drug}."
51,TempOrder,0,"After experiencing {ade}, I was on {drug}."
52,TempOrder,0,"After experiencing {ade}, I was put on {drug}."
53,TempOrder,0,"After experiencing {ade}, I was treated with {drug}."
54,TempOrder,0,"After having {ade}, I started taking {drug}."
55,TempOrder,0,"After having {ade}, I took {drug}."
56,TempOrder,0,"After having {ade}, I was medicated with {drug}."
57,TempOrder,0,"After having {ade}, I was on {drug}."
58,TempOrder,0,"After having {ade}, I was put on {drug}."
59,TempOrder,0,"After having {ade}, I was treated with {drug}."
60,TempOrder,0,"After living through {ade}, I started taking {drug}."
61,TempOrder,0,"After living through {ade}, I took {drug}."
62,TempOrder,0,"After living through {ade}, I was medicated with {drug}."
63,TempOrder,0,"After living through {ade}, I was on {drug}."
64,TempOrder,0,"After living through {ade}, I was put on {drug}."
65,TempOrder,0,"After living through {ade}, I was treated with {drug}."
66,TempOrder,0,"After suffering from {ade}, I started taking {drug}."
67,TempOrder,0,"After suffering from {ade}, I took {drug}."
68,TempOrder,0,"After suffering from {ade}, I was medicated with {drug}."
69,TempOrder,0,"After suffering from {ade}, I was on {drug}."
70,TempOrder,0,"After suffering from {ade}, I was put on {drug}."
71,TempOrder,0,"After suffering from {ade}, I was treated with {drug}."
72,TempOrder,0,I encountered {ade} before I started taking {drug}.
73,TempOrder,0,I encountered {ade} before I was medicated with {drug}.
74,TempOrder,0,I encountered {ade} before I was put on {drug}.
75,TempOrder,0,I encountered {ade} before I was treated with {drug}.
76,TempOrder,0,I encountered {ade} before taking {drug}.
77,TempOrder,0,I endured {ade} before I started taking {drug}.
78,TempOrder,0,I endured {ade} before I was medicated with {drug}.
79,TempOrder,0,I endured {ade} before I was put on {drug}.
80,TempOrder,0,I endured {ade} before I was treated with {drug}.
81,TempOrder,0,I endured {ade} before taking {drug}.
82,TempOrder,0,I experienced {ade} before I started taking {drug}.
83,TempOrder,0,I experienced {ade} before I was medicated with {drug}.
84,TempOrder,0,I experienced {ade} before I was put on {drug}.
85,TempOrder,0,I experienced {ade} before I was treated with {drug}.
86,TempOrder,0,I experienced {ade} before taking {drug}.
87,TempOrder,0,I had {ade} before I started taking {drug}.
88,TempOrder,0,I had {ade} before I was medicated with {drug}.
89,TempOrder,0,I had {ade} before I was put on {drug}.
90,TempOrder,0,I had {ade} before I was treated with {drug}.
91,TempOrder,0,I had {ade} before taking {drug}.
92,TempOrder,0,I lived through {ade} before I started taking {drug}.
93,TempOrder,0,I lived through {ade} before I was medicated with {drug}.
94,TempOrder,0,I lived through {ade} before I was put on {drug}.
95,TempOrder,0,I lived through {ade} before I was treated with {drug}.
96,TempOrder,0,I lived through {ade} before taking {drug}.
97,TempOrder,0,I suffered from {ade} before I started taking {drug}.
98,TempOrder,0,I suffered from {ade} before I was medicated with {drug}.
99,TempOrder,0,I suffered from {ade} before I was put on {drug}.
100,TempOrder,0,I suffered from {ade} before I was treated with {drug}.
101,TempOrder,0,I suffered from {ade} before taking {drug}.
102,TempOrder,0,I encountered {ade} ahead of taking {drug}.
103,TempOrder,0,I endured {ade} ahead of taking {drug}.
104,TempOrder,0,I experienced {ade} ahead of taking {drug}.
105,TempOrder,0,I had {ade} ahead of taking {drug}.
106,TempOrder,0,I lived through {ade} ahead of taking {drug}.
107,TempOrder,0,I suffered from {ade} ahead of taking {drug}.
108,TempOrder,0,"Before I started taking {drug}, I encountered {ade}."
109,TempOrder,0,"Before I started taking {drug}, I endured {ade}."
